,Time (ns),Peptide_num,Angle,len coords
0,10,1,9.381487360375033,1
1,10,2,5.276441602342317,1
2,10,3,1.8939787590617527,1
3,10,4,31.803776975790512,1
4,10,5,13.3802253709123,1
5,10,6,9.878037564297244,1
6,10,7,2.300254011742055,1
7,10,8,0.24051804873450067,1
8,20,1,11.700181927620974,1
9,20,2,4.8625411376256125,1
10,20,3,10.44991534263798,1
11,20,4,10.823176352024689,1
12,20,5,9.106593916767011,1
13,20,6,23.8159036425548,1
14,20,7,9.595427000788817,1
15,20,8,18.632056200042896,1
16,30,1,16.482996577139943,1
17,30,2,4.549618374883877,1
18,30,3,22.01424618401009,1
19,30,4,,2
20,30,5,0.6985999089741313,1
21,30,6,1.5111008873751786,1
22,30,7,11.659993166527656,1
23,30,8,23.907429183561405,1
24,40,1,1.3065135606704814,1
25,40,2,,2
26,40,3,20.44341365365173,1
27,40,4,0.6073828946293816,1
28,40,5,10.266325410975668,1
29,40,6,2.3010061476812353,1
30,40,7,2.8306766852655016,1
31,40,8,10.766211215024882,1
32,50,1,18.3595994761356,1
33,50,2,,2
34,50,3,,2
35,50,4,0.17168234292682882,1
36,50,5,0.6166683212359914,1
37,50,6,4.820542311095437,1
38,50,7,5.538847310570176,1
39,50,8,6.757830257889154,1
40,60,1,4.972515972110287,1
41,60,2,1.4777607819902983,1
42,60,3,3.185426693412168,1
43,60,4,0.5200064657424832,1
44,60,5,19.472194548781545,1
45,60,6,26.354814758862055,1
46,60,7,3.9381562869158415,1
47,60,8,9.986420583779363,1
48,70,1,1.4127406354239014,1
49,70,2,6.901706259408243,1
50,70,3,13.53101907195395,1
51,70,4,2.344309087029231,1
52,70,5,7.191625066055991,1
53,70,6,1.6799744809781316,1
54,70,7,4.442457886193935,1
55,70,8,0.9975048820707286,1
56,80,1,4.733649131331546,1
57,80,2,6.824114844252307,1
58,80,3,1.4728215147426056,1
59,80,4,0.11556902396695534,1
60,80,5,14.53777798662884,1
61,80,6,4.887263833185585,1
62,80,7,26.434089019406407,1
63,80,8,16.718389358498996,1
64,90,1,1.6722459459789576,1
65,90,2,8.302016060497493,1
66,90,3,12.178577526124982,1
67,90,4,11.016317743219588,1
68,90,5,23.772629053820992,1
69,90,6,13.100101449288701,1
70,90,7,,2
71,90,8,23.286178138478803,1
72,100,1,4.493422630062497,1
73,100,2,8.024972096705767,1
74,100,3,3.8710352231939,1
75,100,4,3.58765013514423,1
76,100,5,4.08562532270831,1
77,100,6,2.125269629186036,1
78,100,7,,2
79,100,8,,0
80,110,1,1.5039531504123431,1
81,110,2,9.962618239229514,1
82,110,3,18.400839737114993,1
83,110,4,4.951458962518203,1
84,110,5,5.390150007222644,1
85,110,6,14.220129770832628,1
86,110,7,0.4388550842670327,1
87,110,8,0.09715215360746754,1
88,120,1,8.535429315244585,1
89,120,2,,2
90,120,3,4.091907496460166,1
91,120,4,1.6538982105597313,1
92,120,5,3.626492089047815,1
93,120,6,4.515843016714584,1
94,120,7,3.854168354515352,1
95,120,8,17.27132036733032,1
96,130,1,49.17550282595059,1
97,130,2,1.7253061332534685,1
98,130,3,3.033318685126005,1
99,130,4,7.312475611536769,1
100,130,5,4.96334495224842,1
101,130,6,8.000437072359034,1
102,130,7,10.51789354351223,1
103,130,8,5.770960333212656,1
104,140,1,4.360008182725295,1
105,140,2,6.138206163145128,1
106,140,3,2.067090995764687,1
107,140,4,35.84034832661674,1
108,140,5,4.548895324149157,1
109,140,6,7.470375258237823,1
110,140,7,1.4666754062991316,1
111,140,8,5.916741408140382,1
112,150,1,0.5694319098529945,1
113,150,2,9.856183472356363,1
114,150,3,,2
115,150,4,39.71954708455118,1
116,150,5,2.5759557315760873,1
117,150,6,11.887400818710915,1
118,150,7,5.002588003138598,1
119,150,8,2.77103456263832,1
120,160,1,0.7917904040365471,1
121,160,2,12.964420644449149,1
122,160,3,0.45832221686397645,1
123,160,4,22.238167426673996,1
124,160,5,1.700384712044638,1
125,160,6,5.264214908128551,1
126,160,7,14.679868713659687,1
127,160,8,,2
128,170,1,1.0779075498074633,1
129,170,2,,0
130,170,3,,2
131,170,4,23.70820099714409,1
132,170,5,4.899656894689102,1
133,170,6,6.784945826562534,1
134,170,7,3.339844428949874,1
135,170,8,16.73435249431779,1
136,180,1,2.3704997937260686,1
137,180,2,,2
138,180,3,3.913767112158098,1
139,180,4,31.709097155249466,1
140,180,5,0.36248488631521525,1
141,180,6,,2
142,180,7,3.5719295095077115,1
143,180,8,13.23051042058188,1
144,190,1,1.8590821541870923,1
145,190,2,,2
146,190,3,2.5879930864851985,1
147,190,4,4.255707511863164,1
148,190,5,1.391718262074832,1
149,190,6,4.196873587423767,1
150,190,7,3.9302724566739897,1
151,190,8,5.066589895741359,1
152,200,1,5.27699081108338,1
153,200,2,6.408255663171985,1
154,200,3,,2
155,200,4,,2
156,200,5,0.5407013487493657,1
157,200,6,0.7671091508779,1
158,200,7,12.495094816246208,1
159,200,8,6.4688498360605,1
160,210,1,5.0005363598158965,1
161,210,2,8.321109678179184,1
162,210,3,3.7966744171686884,1
163,210,4,0.6808059408961924,1
164,210,5,3.7138618041274896,1
165,210,6,4.636195523602041,1
166,210,7,7.900813393884732,1
167,210,8,5.416039557180895,1
168,220,1,11.013225012830745,1
169,220,2,6.517823291748101,1
170,220,3,2.1688822196090882,1
171,220,4,,2
172,220,5,3.7858782084003195,1
173,220,6,9.865376130296525,1
174,220,7,19.300489915758234,1
175,220,8,3.02449595732557,1
176,230,1,11.5635282287043,1
177,230,2,11.021920643624526,1
178,230,3,0.8147757447999879,1
179,230,4,,2
180,230,5,1.6091492074186533,1
181,230,6,5.503104541089115,1
182,230,7,9.660116934233216,1
183,230,8,3.7250778073833004,1
184,240,1,6.2164919546630415,1
185,240,2,11.070645477595747,1
186,240,3,4.3990154678111395,1
187,240,4,5.330950837066496,1
188,240,5,1.034748684252861,1
189,240,6,0.22460108852683902,1
190,240,7,0.3359290341952601,1
191,240,8,4.580281997085223,1
192,250,1,8.052085437567953,1
193,250,2,0.7556519635699743,1
194,250,3,3.008718264491634,1
195,250,4,,2
196,250,5,2.8306024891705164,1
197,250,6,7.44057244826098,1
198,250,7,8.745969197446186,1
199,250,8,5.450443631417045,1
200,260,1,4.190978076314593,1
201,260,2,2.8630273075115014,1
202,260,3,0.9242436812112231,1
203,260,4,,2
204,260,5,1.2648625696641034,1
205,260,6,0.763730097824606,1
206,260,7,,2
207,260,8,4.727994626789183,1
208,270,1,10.26534499508918,1
209,270,2,2.0473853041184924,1
210,270,3,47.43435618308444,1
211,270,4,3.6112265328257394,1
212,270,5,3.234545903504383,1
213,270,6,1.5165187721059254,1
214,270,7,14.768711987792202,1
215,270,8,12.67159710919178,1
216,280,1,3.4787076127679626,1
217,280,2,,2
218,280,3,39.359643621083244,1
219,280,4,,2
220,280,5,4.1249660728203565,1
221,280,6,5.7289693301907505,1
222,280,7,18.11706700410693,1
223,280,8,4.5635676258888225,1
224,290,1,13.528917703258102,1
225,290,2,2.9402524736114515,1
226,290,3,31.545686103540504,1
227,290,4,,2
228,290,5,2.079117644428976,1
229,290,6,21.513451394505566,1
230,290,7,1.6887625167461948,1
231,290,8,,2
232,300,1,8.366123785836962,1
233,300,2,5.051114336353123,1
234,300,3,18.74341920157333,1
235,300,4,19.28360084366308,1
236,300,5,3.5816806325499186,1
237,300,6,,2
238,300,7,2.697048470277352,1
239,300,8,4.180691371329445,1
240,310,1,1.8563384264293745,1
241,310,2,3.284043969063248,1
242,310,3,,2
243,310,4,6.012398068582414,1
244,310,5,2.995661045405825,1
245,310,6,1.3983951953879767,1
